Learning Rate, Activation Function, Weight Decay, Hidden Layers, Dropout Rate, Validation Error
0.0935620099036, tanh, 0.00306426011631, 96 64 128 32, 0.0830904382529, 0.602958798409
0.0374010797198, relu, 0.000297838428066, 32, 0.0990291063864, 0.850516498089
0.457362481008, leaky_relu, 0.00816115931306, 128 64 96, 0.99222984053, 12199424000.0
0.000318347053999, relu, 6.99091522515e-05, 64 128 32 96, 0.538586612365, 0.705054402351
0.00295150963804, leaky_relu, 2.44626562957e-05, 96 128 32 64, 0.301864636067, 0.648904204369
0.0032608526036, leaky_relu, 0.00200907308897, 96 128 64 32, 0.424535737404, 0.685028731823
0.0201784903854, leaky_relu, 0.000267721562994, 96 64 32, 0.785128023783, 0.971582174301
0.0259502790475, relu, 0.000141826528619, 128, 0.481491716974, 0.767858505249
0.000578717305552, leaky_relu, 1.47220187201e-05, 96 64, 0.82509825534, 0.789861559868
0.00313552898416, tanh, 0.0205608372995, 64 32 128 96, 0.0696529877278, 0.661652624607
0.0973027163748, leaky_relu, 0.0821097054888, 128 96 32 64, 0.913551831475, 420.27545166
0.00238898442851, tanh, 4.97911983291e-05, 64 128, 0.753522571018, 2.37758803368
0.00039679863117, relu, 0.00872635756133, 96 64 32 128, 0.286555086785, 0.742185413837
0.0464097133142, relu, 4.80601083212e-05, 96 32 64, 0.484087880845, 0.788713574409
0.296230479508, relu, 4.03575902278e-05, 128 32 96 64, 0.626254151229, 1.06880748272
0.000972775986324, relu, 0.0365688664563, 32 128 96 64, 0.149765523959, 0.97581589222
0.000122719980292, tanh, 0.000829741988466, 128 32 96, 0.0719874978999, 0.593661546707
0.0316152041858, tanh, 0.0209722538116, 32 128 64 96, 0.84280390465, 0.975854814053
0.000302315590918, relu, 0.000284484743557, 128 32 64, 0.60817319824, 0.69672703743
0.00887174235425, tanh, 0.0622698946335, 96 128, 0.853106313087, 0.790250897408
0.00318866006851, relu, 0.00320782347978, 64 128 96, 0.118650574193, 0.613901436329
0.0520706251214, relu, 0.00131361221373, 128 96 32 64, 0.976125209886, 0.980126917362
0.0748462122512, tanh, 0.00185022080086, 128 96 32 64, 0.0122828903124, 0.62472987175
0.0459022887209, tanh, 0.00217675543787, 128 64 96 32, 0.43601531131, 0.71781873703
0.0121940740897, leaky_relu, 0.0517015806585, 128 96 64 32, 0.680712093676, 0.976976454258
0.0193995555717, leaky_relu, 0.0578531713718, 96 32 128, 0.945456499713, 0.975846588612
0.000852878901863, tanh, 0.011130408389, 64 96, 0.132502837926, 0.59662014246
0.000299304780373, tanh, 0.00193076001614, 64 96 128, 0.0899001969104, 0.630716621876
0.106629667421, tanh, 0.00368947419691, 64 96 32, 0.0873116218981, 0.640902400017
0.161156651994, leaky_relu, 0.000159796855759, 128 64 96 32, 0.166447461806, 1.25431096554
0.0026464916177, tanh, 0.0343117376659, 128 96 64, 0.117615548658, 0.671706497669
0.00288499331158, leaky_relu, 6.84242589177e-05, 128 32 64, 0.324777213979, 0.67600351572
0.0257547765936, relu, 0.00140449728026, 128 96 32 64, 0.15787518647, 0.619843363762
0.624990118113, leaky_relu, 0.000106707259923, 128 96 64 32, 0.0860750230605, 30670974976.0
0.0534863606212, relu, 0.000105217305496, 96 128, 0.422744895802, 0.854382038116
0.000104785651216, tanh, 0.0475570423938, 128 32 96 64, 0.0467163706597, 0.768036305904
0.715648185083, leaky_relu, 0.00069593060472, 64 32 96, 0.0931452635537, 1010.41467285
0.461757629162, tanh, 0.0752741873732, 96 128 64, 0.129120740089, 0.791930377483
0.0184880597991, relu, 0.0617203769746, 128 32 64 96, 0.66264092803, 0.976416051388
0.309868613819, leaky_relu, 0.00224780435065, 64 96 32 128, 0.0933411329147, 3475374.25
0.359102609231, tanh, 0.000604605339679, 96 128 32 64, 0.183640784455, 0.969251692295
0.226025551185, tanh, 0.00109062806753, 32 96 64, 0.900937807638, 1.97618377209
0.0108677407876, tanh, 9.47469861485e-05, 128 96 64, 0.186970232352, 0.773525714874
0.000167271187135, leaky_relu, 0.00107232168851, 64 32, 0.0353639229737, 0.581179618835
0.00918524203069, tanh, 0.0055823544338, 32 128 64 96, 0.0537099990645, 0.679434299469
0.0785557244166, leaky_relu, 0.0052621112029, 32 96, 0.0221857833542, 0.630553841591
0.802813708692, tanh, 0.00507274471981, 32 96, 0.167059064362, 0.65726929903
0.620488960696, tanh, 1.02439250112e-05, 32 96 128 64, 0.427971484596, 2.88952040672
0.508735895283, relu, 2.90617483749e-05, 96 64 128 32, 0.929504780974, 35.63646698
0.000242471358808, leaky_relu, 0.00814338074999, 64 32 128, 0.791495707644, 0.7565959692
0.040972537185, leaky_relu, 0.000296302386031, 96, 0.187884459651, 0.755361139774
0.0419784239355, leaky_relu, 0.00108770837715, 32 64 128, 0.431454544522, 0.683271825314
0.0147209465192, leaky_relu, 0.00165110568076, 128 32 96 64, 0.450347442391, 0.718677043915
0.114192779925, leaky_relu, 0.000706988220622, 128 64, 0.729326079113, 89.8563613892
