Learning Rate, Activation Function, Weight Decay, Hidden Layers, Validation Error
0.00951216257855, leaky_relu, 2.40432213667e-05, 32 96, 0.902342498302
0.000505126759641, leaky_relu, 0.000312905155979, 96 128 32, 0.655809998512
0.00151467391806, leaky_relu, 0.0400037343538, 64 128 32 96, 0.977612137794
0.0127811247097, relu, 0.00552629881433, 128 96 32 64, 0.667181968689
0.0170286949109, leaky_relu, 0.0499349388947, 96 64, 0.723935604095
0.905894883856, relu, 0.0556146999536, 128 96 64 32, 5.96720790863
0.00109129129695, relu, 0.0649356903675, 96 128 32 64, 0.975333273411
0.00269867900083, relu, 0.0307262292821, 32 128 64, 0.738702833652
0.0352348482746, relu, 8.55168150559e-05, 96 128 64 32, 0.726610541344
0.00239492123187, relu, 0.0873303689841, 64 128 32, 0.975621759892
0.000665673637823, relu, 0.00826076296984, 64 128, 0.566913485527
0.000271815231889, relu, 0.000468038694254, 32, 0.67059391737
0.00828607787986, leaky_relu, 0.000178226217803, 64 96 32 128, 0.698773086071
0.000113506326573, leaky_relu, 1.95170731653e-05, 128 32 64, 0.60074877739
0.00972803677786, relu, 0.00339959511634, 96 64 32, 0.654457390308
0.000343483242123, leaky_relu, 0.000142120100607, 64 128 96 32, 0.643034160137
0.61473611059, relu, 1.42215858791e-05, 32 128, 0.98819488287
0.000110418711616, leaky_relu, 0.00421247168045, 64 128 96 32, 0.664369702339
0.0470382174342, relu, 0.0181506659283, 96 64 32, 0.647375881672
0.58443787937, relu, 0.000134276022589, 96 32, 0.978475451469
0.000610330631359, leaky_relu, 0.0529281747606, 96 64 32 128, 0.976280033588
0.000300800920108, relu, 0.0091095027873, 96 128 32 64, 0.686202406883
0.00500742083945, leaky_relu, 3.90053761599e-05, 96 128 32, 0.720795869827
0.253483188798, relu, 0.00236010485086, 32 96 64 128, 0.977959573269
0.000138389866462, relu, 0.000370769700436, 96 128 64 32, 0.649950683117
0.0669955496314, relu, 9.52688892569e-05, 32 96 128 64, 0.89835524559
0.00371627891504, leaky_relu, 0.000265522813048, 32 96 128, 0.743054032326
0.000846568451365, leaky_relu, 0.0394511204157, 64 32 96, 0.759926617146
0.379400919991, leaky_relu, 0.000338445674391, 96 128 64, 3170.61938477
0.0150608541318, relu, 0.00191469969647, 128 64 96 32, 0.637877643108
0.00500534958097, relu, 2.48583633719e-05, 32 96 64 128, 0.705637633801
0.555475049342, leaky_relu, 1.75549731705e-05, 64 96 32, 16.8796901703
0.054712950072, leaky_relu, 0.0138479180568, 32 64 96 128, 0.978653073311
0.486318967492, leaky_relu, 0.0127372630952, 32 128 64 96, 1049.07995605
0.138235361052, leaky_relu, 4.89038359957e-05, 64 128 96 32, 1.82996034622
