HeadYaw, HeadPitch, LShoulderPitch, LShoulderRoll, LElbowYaw, LElbowRoll, LWristYaw, LHipYawPitch, LHipRoll, LHipPitch, LKneePitch, LAnklePitch, LAnkleRoll, RHipYawPitch, RHipRoll, RHipPitch, RKneePitch, RAnklePitch, RAnkleRoll, RShoulderPitch, RShoulderRoll, RElbowYaw, RElbowRoll, RWristYaw
0.0, 0.0, -0.26179933548, 2.80259692865e-45, -1.57348752022, -0.044828504324, 5.6051938573e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.26179933548, -2.80259692865e-45, 1.57348752022, 0.044828504324, 0.0
0.0, 0.0, -0.523598670959, 2.80259692865e-45, -1.57348752022, -0.044828504324, 5.6051938573e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.523598670959, -2.80259692865e-45, 1.57348752022, 0.044828504324, 0.0
0.0, 0.0, -0.780542194843, 0.00760364113376, -1.57352995872, -0.0442458167672, 5.6051938573e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.780542194843, -0.00760364113376, 1.57352995872, 0.0442458167672, 0.0
0.0, 0.0, -1.03959333897, 0.0172110572457, -1.57358121872, -0.0439112298191, 5.6051938573e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.03959333897, -0.0172110572457, 1.57358121872, 0.0439112298191, 0.0
0.0, 0.0, -1.3033657074, 0.0251714605838, -1.57362353802, -0.0441307984293, 5.6051938573e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3033657074, -0.0251714605838, 1.57362353802, 0.0441307984293, 0.0
0.0, 0.0, -1.57092499733, 0.0282871089876, -1.57364201546, -0.0447947047651, 5.6051938573e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.57092499733, -0.0282871089876, 1.57364201546, 0.0447947047651, 0.0
0.0, 0.0, -1.8383936882, 0.024936504662, -1.57362616062, -0.0454521812499, 5.6051938573e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.8383936882, -0.024936504662, 1.57362616062, 0.0454521812499, 0.0
0.0, 0.0, 1.51909792423, 0.114494353533, -1.5859811306, -0.28509247303, 5.6051938573e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.51909792423, -0.114494353533, 1.5859811306, 0.28509247303, 0.0
0.0, 0.0, 1.52136135101, 0.08684977144, -1.58729946613, -0.544311523438, 5.6051938573e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.52136135101, -0.08684977144, 1.58729946613, 0.544311523438, 0.0
0.0, 0.0, 1.53739786148, 0.0685937479138, -1.58422756195, -0.797292649746, 5.6051938573e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.53739786148, -0.0685937479138, 1.58422756195, 0.797292649746, 0.0
0.0, 0.0, 1.55284118652, 0.058069050312, -1.58082818985, -1.05095994473, 5.6051938573e-45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.55284118652, -0.058069050312, 1.58082818985, 1.05095994473, 0.0
