0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170
-3.12948, 91.5777, -20.6551, -11.6591, 9.85425, -168.994, -11.1598, 9.8434, 0.379236, -2.14624, 6.56646, 0.947023, -1.78386, 2.62465, 1.29845, 3.04571, 1.70385, -0.950485, -0.0409268, 8.29593, 0.756096, 0.416521, -3.28143, -3.58624, 0.694426, -17.1461, -0.358434, 103.39, -15.0686, 3.54124, 62.2556, 8.75508, -22.9159, -1.48718e-05, 36.0931, -13.0856, 12.0389, -6.77472, 1.59103e-05, -4.00151, 10.6197, 0.738618, 6.36111e-15, -6.36111e-15, 3.18055e-15, -3.18055e-15, 0.0, -3.18055e-15, 3.79151, 0.0, -3.18055e-15, -3.18055e-15, 0.0, 3.18055e-15, 1.59028e-15, 0.0, -9.54166e-15, 12.7179, 1.59028e-15, 3.18055e-15, -3.53113e-31, 1.59028e-15, 1.27222e-14, 3.18055e-15, 6.36111e-15, -3.18055e-15, 20.451, 0.0, -0.0, -1.59028e-15, 2.38542e-15, 3.18055e-15, -3.97569e-15, -1.59028e-15, -0.0, 43.7139, 1.59028e-15, -6.36111e-15, 7.95139e-16, -3.18055e-15, 3.18055e-15, 1.59028e-15, 1.59028e-15, 3.18055e-15, -100.482, -14.3197, -2.62009, -62.1835, 9.63144, 22.2882, 179.997, 78.1223, 118.313, -13.6354, 6.13491, -0.000139433, 6.1268, 31.7954, -3.23742, -4.77083e-15, -3.18055e-15, 3.18055e-15, -3.18055e-15, -3.18055e-15, -4.77083e-15, -99.3752, 5.96354e-15, 5.56597e-15, 3.18055e-15, -1.59028e-15, -1.59028e-15, 3.18055e-15, 4.37326e-15, -0.0, -112.724, 1.03368e-14, 1.11319e-14, -3.18055e-15, 7.95139e-16, 1.59028e-15, -3.18055e-15, -3.18055e-15, 2.38542e-15, -94.5227, -7.95139e-16, 6.36111e-15, -1.65521e-31, -5.96354e-15, -1.59028e-15, 6.36111e-15, 1.07344e-14, 7.95139e-16, -89.4629, 9.54166e-15, 5.56597e-15, -3.18055e-15, 7.95139e-16, 1.59028e-15, -0.0, -1.98785e-15, -0.0, -20.105, -0.559313, -19.9906, -2.99149e-15, 39.5643, 1.03143e-14, 4.82004, -16.7988, -10.6968, 3.97569e-16, 0.0, -3.18055e-15, 0.0, 6.71905, -0.0, -14.338, 7.94427, 21.3297, -3.97569e-16, 13.1507, -0.0, 5.8046, -7.4513, -3.37427, -4.41391e-32, -7.95139e-16, -3.18055e-15, 5.45842e-18, 0.09833, -3.18056e-15
-4.07039, 91.2607, -19.2435, -11.6666, 9.68206, -173.002, -13.371, 9.94906, 0.824409, -2.44844, 6.59659, 1.04547, -2.03668, 2.54888, 0.88002, 2.25799, 1.93737, -0.990552, -1.89213, 9.85153, 1.99497, 0.179415, -3.163, -1.59978, 0.285879, -17.2339, -0.17376, 103.244, -15.0588, 3.49926, 62.3323, 6.60217, -22.5647, 1.4386e-07, 33.3394, -13.1757, 12.66, -7.13776, -3.2054e-15, -4.11416, 10.7174, 0.76636, -1.59028e-15, 0.0, 9.54166e-15, -3.18055e-15, 0.0, -0.0, 3.62589, 1.59028e-15, -0.0, 1.59028e-15, 1.59028e-15, 3.18055e-15, -1.59028e-15, 0.0, 3.18055e-15, 12.6031, 2.38542e-15, 3.18055e-15, 8.82781e-32, 7.95139e-16, -6.36111e-15, -2.64834e-31, -1.59028e-15, -9.54166e-15, 20.4046, 4.37326e-15, 1.27222e-14, 7.95139e-16, 5.96354e-16, 3.18055e-15, -1.98785e-16, -1.98785e-15, 6.36111e-15, 43.7108, 1.59028e-14, 2.54444e-14, 5.56597e-15, -6.36111e-15, -9.54166e-15, -6.36111e-15, -3.18055e-15, -0.0, -98.2338, -15.7603, -2.25077, -64.786, 22.53, 21.1806, -180.0, 59.8009, 144.882, -3.86003, 2.47733, 6.36706e-15, -6.63339, 10.5433, 1.21903, 0.0, 3.18055e-15, -0.0, 0.0, 6.36111e-15, -0.0, -79.883, -9.54166e-15, -3.18055e-15, 3.18055e-15, -1.59028e-15, -0.0, -3.18055e-15, 0.0, 3.18055e-15, -102.539, -9.54166e-15, -9.54166e-15, 0.0, 9.54166e-15, -0.0, -6.36111e-15, 3.18055e-15, -0.0, -90.3147, -6.36111e-15, -6.36111e-15, 3.18055e-15, 3.18055e-15, -0.0, 3.18055e-15, -3.18055e-15, 3.18055e-15, -95.1256, -6.36111e-15, -6.36111e-15, 3.18055e-15, -4.77083e-15, -0.0, -7.94503e-31, -4.77083e-15, -9.54166e-15, -19.6569, 1.82302, -18.3874, -2.64542e-15, 30.1886, 3.6796e-15, 2.0337, -21.4676, -8.16542, -6.95746e-16, -1.98785e-16, -3.18055e-15, -3.24092e-16, 10.168, -3.2313e-15, -15.7282, 6.11454, 23.4685, -1.95358e-15, 13.4539, 3.2703e-15, 6.69979, -7.4329, -1.43774, -1.98785e-16, 0.0, 3.18055e-15, -2.10662e-16, 0.106986, 6.36112e-15
-4.32635, 91.1595, -19.0773, -12.4722, 8.69829, -170.713, -12.6142, 9.30855, 0.717151, -2.40586, 6.25375, 1.031, -2.07372, 2.64397, 1.34492, 2.15303, 1.83149, -0.851774, -1.53017, 7.68859, 2.21989, -0.744107, -3.45811, -1.10426, -0.81757, -17.4841, -0.0365601, 103.385, -15.0942, 3.5457, 61.5088, 8.44117, -22.3956, -1.25973e-07, 34.2291, -12.9209, 12.7189, -7.09261, -0.0, -4.11934, 10.6499, 0.762552, 3.18055e-15, 3.18055e-15, 3.18055e-15, -7.06225e-31, 6.36111e-15, 6.36111e-15, 3.93354, 1.59028e-15, -6.36111e-15, 3.18055e-15, -3.18055e-15, 1.27222e-14, 1.59028e-15, -1.59028e-15, 3.18055e-15, 12.8795, 3.97569e-15, -3.18055e-15, -7.95139e-16, 0.0, -1.59028e-14, 7.95139e-16, -1.59028e-15, -1.27222e-14, 20.5131, 4.37326e-15, 6.36111e-15, -1.98785e-15, -2.78299e-15, -6.36111e-15, 1.98785e-15, 3.97569e-16, 6.36111e-15, 43.4902, 1.27222e-14, 9.54166e-15, 7.06225e-31, -6.36111e-15, 6.36111e-15, 4.77083e-15, 4.77083e-15, 3.18055e-15, -100.722, -14.7113, -2.75306, -62.5895, 6.45605, 20.859, -180.0, 79.0224, 125.965, 4.74159, -2.28888, -3.8079e-15, 26.1582, 37.9635, -16.8116, -6.36111e-15, -6.36111e-15, -4.77083e-15, 1.59028e-15, -6.36111e-15, -4.77083e-15, 40.561, -8.74653e-15, -1.03368e-14, 3.18055e-15, -6.36111e-15, -3.37934e-15, 3.18055e-15, 2.98177e-15, 3.37934e-15, 28.9606, -6.75868e-15, -9.54166e-15, -3.18055e-15, 1.78906e-15, 6.95746e-15, -2.17247e-31, 1.78906e-15, 6.95746e-15, -9.66187, 7.95139e-16, -2.60905e-15, 7.95139e-16, -7.95139e-16, 1.00138e-14, -1.59028e-15, 3.97569e-16, -2.68359e-15, -64.4089, 4.57205e-15, -5.36719e-15, -3.18055e-15, -7.7526e-15, -1.98785e-16, 1.12555e-30, 6.75868e-15, -9.54166e-15, -18.5129, 3.63044, -18.7455, 1.43235e-15, 32.2692, -7.52306e-15, 1.62513, -23.2287, -9.34956, 3.97569e-16, -9.93923e-17, -0.0, 4.96962e-17, 10.2632, -0.0, -16.3614, 5.49962, 22.4788, 7.95139e-16, 13.6696, -0.0, 6.55699, -7.39953, -2.74086, -1.98785e-16, -1.19271e-15, -3.18055e-15, -0.0, -0.0188957, -0.0
-1.20804, 91.645, -23.8907, -10.98, 8.617, -169.474, -11.0632, 11.0641, 0.218334, -2.07767, 6.8424, 0.917902, -1.70705, 2.88168, 0.575687, 3.49961, 1.69171, -1.09387, 0.20407, 7.5686, -0.374927, 0.0280223, -3.54244, -4.96626, 0.4292, -17.3454, -0.435726, 103.224, -16.0059, 3.70722, 60.9927, 3.76337, -21.7986, 0.000877447, 29.3883, -13.3653, 13.5648, -7.37821, -0.000127773, -3.95792, 9.83159, 0.67689, -0.0, -1.59028e-15, -0.0, -8.82781e-32, 1.59028e-15, 3.18055e-15, 3.67942, 1.19271e-15, 3.18055e-15, 3.97569e-16, -3.97569e-16, -9.54166e-15, 1.76556e-31, 7.95139e-16, -1.27222e-14, 12.5402, 7.95139e-16, 3.18055e-15, -9.93923e-16, 0.0, -0.0, 9.93923e-16, 3.97569e-16, -0.0, 20.18, 2.38542e-15, 9.54166e-15, -0.0, -7.95139e-16, -0.0, 7.95139e-16, 0.0, -3.18055e-15, 43.3183, 6.36111e-15, 9.54166e-15, 4.77083e-15, -3.18055e-15, -0.0, 1.59028e-15, -3.18055e-15, 3.18055e-15, -100.541, -14.3911, -2.64799, -62.077, 4.9306, 25.3757, -180.0, 77.1796, 128.828, 1.38559, -0.0115116, 2.35315e-05, 21.2139, 35.6942, -12.7604, -1.59028e-15, 3.18055e-15, 3.97569e-15, -5.73808e-31, 3.18055e-15, 1.03368e-14, 4.45516, -1.59028e-15, -2.5842e-15, 3.5863e-32, 7.95139e-16, -2.5842e-15, 3.97569e-16, 0.0, 6.4605e-16, -17.2841, 0.0, -1.59028e-14, -3.18055e-15, -2.38542e-15, -2.38542e-15, -3.18055e-15, 7.95139e-16, -3.97569e-15, -34.5826, 1.11319e-14, -2.22639e-14, 3.18055e-15, 7.95139e-16, 5.1684e-15, 0.0, 3.18055e-15, -0.0, -65.3563, 1.82882e-14, -2.54444e-14, -3.18055e-15, -4.77083e-15, 1.59028e-15, -3.18055e-15, 2.38542e-15, 3.18055e-15, -19.2135, -5.3429, -13.7408, -4.7324e-16, 17.6944, 4.17312e-15, 3.87739, -7.63119, -1.07158, 3.97569e-16, -1.59028e-15, -2.38542e-15, 6.15789e-16, 7.81338, -1.60518e-15, -12.1866, 8.01443, 20.8151, 5.85344e-16, 14.2228, 3.28113e-15, 3.83516, -9.08672, -3.46816, 6.62086e-32, -1.19271e-15, 3.18055e-15, 2.15914e-16, -0.308568, 3.1806e-15
11.5638, 91.979, -39.7648, -5.28198, 11.574, -168.047, -0.462224, 7.58258, -1.13108, -1.54015, 6.8494, 0.477273, -0.111096, 2.87146, -2.8786, 6.50774, 1.17141, -1.96689, 2.05532, 6.66562, -3.49725, -0.388593, -4.48879, -7.72485, 0.30965, -17.8671, -0.622042, 104.775, -17.0118, 4.41244, 56.6835, 7.60634, 2.38673, -1.08801e-06, 74.2761, 32.8216, 7.48964, -7.36457, 1.20263e-15, -8.7268, 22.2547, 3.32711, -3.18055e-15, 0.0, 1.19271e-15, -6.62086e-32, 7.95139e-16, 4.77083e-15, -16.9563, 3.18055e-15, 7.95139e-15, -3.18055e-15, 1.59028e-15, -0.0, -3.18055e-15, -1.59028e-15, 1.59028e-15, -7.22407, 3.18055e-15, 3.18055e-15, -6.36111e-15, 3.18055e-15, -3.97569e-15, -4.41391e-32, -3.18055e-15, -7.95139e-16, 12.2293, 3.18055e-15, 2.60905e-15, 2.98177e-16, 3.18055e-15, -4.00054e-15, 3.18055e-15, 3.18055e-15, -1.19271e-15, 52.3043, 3.18055e-15, -7.95139e-15, 3.18055e-15, 3.18055e-15, 1.59028e-15, -6.36111e-15, -3.18055e-15, -3.18055e-15, -101.27, -12.6799, -2.50469, -65.7649, 7.70572, 29.4185, 180.0, 77.3439, 145.48, -7.63042, 1.81506, -5.71793e-15, 18.4291, 37.3217, -11.4216, -1.59028e-15, 0.0, -1.59028e-15, -1.59028e-15, 0.0, 1.59028e-15, 6.76099, -3.97569e-16, 1.98785e-16, -3.18055e-15, -1.98785e-16, 3.67752e-15, 3.18055e-15, -5.96354e-16, 3.47873e-15, -12.3692, -5.96354e-16, -1.2921e-15, 9.54166e-15, -5.96354e-16, 1.49089e-15, 1.27222e-14, -7.95139e-16, 9.93923e-17, -29.4517, 2.38542e-15, -5.1684e-15, -9.54166e-15, -3.47873e-15, 2.38542e-15, -3.18055e-15, 2.88238e-15, -2.38542e-15, -60.7636, 2.55935e-15, -7.55382e-15, -7.95139e-16, -3.00662e-15, 3.97569e-16, -7.95139e-16, -3.05631e-15, 1.98785e-16, -1.43548, 8.45362, -8.82974, -4.43911e-16, 12.0287, 2.84546e-15, -3.41481, -13.7303, -10.4455, 6.62086e-32, -2.38542e-15, 1.59028e-15, -3.85227e-16, 14.2453, -3.28146e-15, 7.64648, 9.80475, 16.3562, 3.30056e-15, 30.5704, -1.1082e-14, -8.33171, -8.07534, -6.43398, 2.64834e-31, 4.77083e-15, -3.18055e-15, 1.59028e-15, -9.14188, -0.0
3.23179, 92.0418, -30.9503, -9.82911, 9.10232, -163.075, -7.02645, 8.57281, -0.100191, -2.04398, 6.6517, 0.806145, -1.44076, 3.14211, -0.143029, 4.49293, 1.31915, -1.31561, 0.909672, 5.85298, -2.41326, -1.054, -4.39609, -8.51578, -0.272186, -17.9486, -0.623176, 104.41, -16.268, 4.11704, 58.6792, 9.22434, -1.22645, -7.28903e-06, 79.0197, 34.6885, 8.38014, -7.64067, 3.61018e-15, -8.43509, 23.4827, 3.38171, -1.59028e-15, 7.95139e-16, -9.93923e-16, -1.59028e-15, -1.59028e-15, -9.93923e-16, -21.7422, 0.0, -7.95139e-15, 6.36111e-15, 0.0, 7.95139e-16, 3.18055e-15, 0.0, 3.18055e-15, -12.6278, 0.0, -4.77083e-15, 1.59028e-15, -3.18055e-15, -0.0, 4.41391e-32, -6.36111e-15, 3.97569e-16, 9.08688, 0.0, -1.59028e-15, 3.18055e-15, -3.18055e-15, -1.59028e-15, 1.59028e-15, 0.0, -5.96354e-15, 52.6168, 4.77083e-15, 7.95139e-15, 6.36111e-15, -1.59028e-15, -7.95139e-15, 3.18055e-15, -3.18055e-15, -3.18055e-15, -101.719, -13.6282, -2.79809, -62.5367, 3.04688, 25.5679, 180.0, 78.3752, 144.816, -7.15005, 1.89338, 2.85909e-15, 18.3888, 36.8446, -11.2739, 3.18055e-15, 3.18055e-15, -0.0, 1.98785e-15, 3.18055e-15, -3.57812e-15, 6.41028, 7.95139e-16, 9.28697e-16, 1.98785e-16, -1.98785e-16, -2.25962e-15, 9.93923e-17, -2.98177e-16, 4.10459e-15, -12.776, -5.96354e-16, 1.66482e-15, -3.18055e-15, -1.88845e-15, 4.99446e-15, -1.41814e-32, -6.95746e-16, -1.16786e-15, -29.598, -3.37934e-15, -1.49089e-15, -6.36111e-15, -3.97569e-16, -6.80837e-15, -6.48292e-32, -7.95139e-16, -4.67144e-15, -60.5881, 5.66536e-15, -7.35503e-15, 3.18055e-15, 1.2424e-15, 2.68359e-15, -3.18055e-15, 3.97569e-16, 1.39149e-15, -13.6566, 0.877636, -14.4258, 4.42474e-17, 18.0866, 3.18904e-15, 1.49466, -11.2566, -6.96577, 2.98177e-16, -7.95139e-16, -7.95139e-16, -9.93923e-17, 14.047, -0.0, -5.61203, 11.3373, 16.9468, -9.19379e-16, 16.257, -0.0, -0.0563838, -10.3116, -5.07178, -3.97569e-16, 0.0, -0.0, -4.09214e-16, -0.209775, -3.18058e-15
1.27968, 92.1969, -13.6495, -8.45811, 3.87288, -179.379, -14.5701, 7.93972, 1.04009, -2.93928, 6.26026, 1.25705, -2.89962, 2.53683, 3.00889, 1.15971, 0.721932, -0.467345, -1.42018, 4.33215, 0.766149, -0.694048, -5.51145, -6.49283, 0.0161364, -19.4258, -0.51139, 102.742, -13.1918, 2.95422, 62.6831, 12.9533, -7.68862, 6.76859e-06, 80.5659, 31.8798, 8.75366, -7.94898, -2.00713e-16, -8.1671, 23.2692, 3.24498, -3.97569e-16, 0.0, -9.93923e-16, -3.97569e-16, 0.0, -1.01877e-15, -21.0582, -3.18055e-15, -3.18055e-15, -1.59028e-15, -3.18055e-15, -0.0, 0.0, 0.0, -0.0, -11.6727, -3.18055e-15, -7.95139e-16, 7.95139e-16, 6.36111e-15, -3.97569e-16, -7.95139e-16, 0.0, -1.19271e-15, 10.0045, -6.36111e-15, 2.38542e-15, -3.18055e-15, 0.0, -0.0, -3.18055e-15, -3.18055e-15, 1.59028e-15, 52.8402, 0.0, 1.27222e-14, 8.82781e-32, -1.59028e-15, 3.18055e-15, 2.64834e-31, -1.59028e-15, 9.54166e-15, -100.557, -14.2268, -2.62254, -59.7737, 9.18225, 19.0668, 180.0, 78.9975, 144.824, -5.93586, 2.49748, 3.48204e-15, 19.2188, 37.0064, -11.8503, -3.18055e-15, -3.18055e-15, -3.27995e-15, -6.95746e-16, -3.18055e-15, -6.95746e-16, 5.89591, -6.95746e-16, 2.13072e-15, 1.59028e-15, 9.93923e-17, -4.1869e-15, 3.36216e-33, 1.98785e-16, -9.69075e-16, -13.3199, 2.43511e-15, 3.47873e-16, 6.36111e-15, -2.13694e-15, -9.69075e-16, 3.18055e-15, -5.96354e-16, -2.98177e-16, -29.8316, -2.73329e-15, 7.45443e-16, -3.18055e-15, -3.47873e-16, 2.83268e-15, 1.39314e-31, -1.59028e-15, 5.01931e-15, -60.4639, -6.95746e-16, 2.13694e-15, 6.98294e-32, 2.23633e-15, -1.78906e-15, 3.18055e-15, 2.50966e-15, -9.44227e-16, -13.8141, 5.04858, -19.1043, -5.09548e-15, 34.4137, 1.1566e-14, 3.71429, -20.6151, -3.18433, -0.0, 0.0, 3.18055e-15, -1.25817e-15, 8.28305, 3.21408e-15, -10.2968, -3.69654, 27.5197, -1.06999e-15, 11.9375, 3.25086e-15, 4.73923, -2.30932, 0.285332, -1.98785e-16, 3.97569e-16, -0.0, 0.0, 0.0525465, -0.0
-2.87394, 91.9866, -25.9444, -5.56504, 14.2661, 174.186, -8.05994, 10.7995, 0.0445143, -1.8346, 7.15062, 0.732398, -1.61954, 2.28807, -0.140085, 3.61482, 1.91277, -1.14161, 0.077851, 16.0854, -4.00556, -1.27073, -2.01168, -11.6138, -0.314508, -16.6668, -0.805089, 92.5083, -18.3784, 0.791302, 19.4864, 34.0149, 35.825, -180.0, 65.8083, 135.451, 10.4103, -17.2321, -4.16254e-15, -3.54137, 22.7326, 1.36998, -6.36111e-15, -3.97569e-16, 5.96354e-16, -9.54166e-15, 4.37326e-15, -3.57812e-15, -4.55642, -4.77083e-15, -1.59028e-15, -0.0, -1.59028e-15, -0.0, 1.27222e-14, 1.59028e-15, -0.0, -3.80795, -3.18055e-15, -3.18055e-15, -3.18055e-15, 1.59028e-15, 4.77083e-15, 8.82781e-32, -1.59028e-15, 3.18055e-15, 0.612145, -6.36111e-15, -4.77083e-15, -3.18055e-15, -3.18055e-15, 4.77083e-15, -3.18055e-15, 0.0, 3.18055e-15, 10.0231, -3.18055e-15, -0.0, -3.18055e-15, 0.0, 7.95139e-15, 3.18055e-15, -3.18055e-15, 6.36111e-15, -94.4948, -16.066, -1.24628, -18.2784, 37.6938, -33.6687, 180.0, 60.8627, -134.99, 19.2105, 9.36849, 1.61178e-15, 10.2366, 30.9636, -5.30816, 0.0, 4.77083e-15, -0.0, -3.18055e-15, -7.95139e-16, -0.0, 9.88016, -1.49089e-15, 3.18055e-15, 1.98785e-15, -7.7526e-15, -0.0, 3.97569e-16, -4.87022e-15, -3.18055e-15, 7.219, 3.95085e-15, 3.18055e-15, 1.98785e-16, -3.10601e-15, 3.18055e-15, 1.73937e-15, -6.23687e-15, -3.18055e-15, 1.09253, 6.95746e-15, 3.18055e-15, -3.18055e-15, -9.34288e-15, -0.0, -1.65521e-31, 2.98177e-15, 3.18055e-15, -9.05216, 1.59028e-15, 6.36111e-15, -2.20695e-31, 3.97569e-15, 3.18055e-15, -3.18055e-15, -2.38542e-15, -0.0, -15.6557, 3.11337, -9.55748, 9.89442e-16, 17.4275, 3.33358e-15, 3.63244, -12.1178, -0.0896359, -4.41391e-32, -7.95139e-16, -3.18055e-15, 5.96354e-16, 7.20264, -0.0, -9.6166, 10.9104, 23.4048, 5.80743e-16, 15.4477, -3.29976e-15, 3.97467, -9.51359, -0.695772, 2.20695e-32, -7.95139e-16, 1.59028e-15, 2.18281e-16, -0.70241, 1.5904e-15
-1.45971, 92.0791, -26.1689, -6.21631, 13.9269, 174.314, -8.09056, 10.2227, 0.0178759, -1.74953, 7.11811, 0.687687, -1.78272, 2.30174, -0.696005, 4.46829, 1.64199, -1.30285, 2.64426, 13.9233, -7.59702, -1.8459, -3.09731, -18.3376, -0.00868489, -17.7211, -1.30295, 92.41, -18.941, 0.782685, 22.2675, 34.3432, 25.935, 180.0, 68.9376, 125.663, -1.44966, -15.4879, -1.32016e-14, 0.379206, 19.4601, -0.126334, 6.36111e-15, -3.97569e-15, 5.56597e-15, 3.18055e-15, -5.56597e-15, 2.38542e-15, -17.965, -1.59028e-15, 3.18055e-15, -3.18055e-15, 0.0, -0.0, -3.18055e-15, -1.59028e-15, 3.18055e-15, -17.6185, -4.77083e-15, -0.0, 8.82781e-32, -1.59028e-15, 3.18055e-15, 3.18055e-15, 0.0, -0.0, -11.554, 0.0, -3.18055e-15, 6.36111e-15, -4.77083e-15, -0.0, 9.54166e-15, -6.36111e-15, 3.18055e-15, -2.27637, 0.0, -1.59028e-15, 3.18055e-15, 4.77083e-15, -0.0, 8.82781e-32, 3.18055e-15, -1.59028e-15, -96.0077, -14.4012, -1.49935, -28.7788, 34.5427, -32.0491, 180.0, 69.8149, -158.922, 5.50573, -21.1282, -0.0, 5.56065, 32.6837, -3.00945, -1.76556e-31, 1.59028e-15, 6.36111e-15, 3.18055e-15, 4.77083e-15, -0.0, 28.4641, 1.59028e-15, -0.0, 3.18055e-15, 1.59028e-15, -3.18055e-15, 1.59028e-15, 2.38542e-15, -1.59028e-15, 27.4501, 2.38542e-15, -0.0, -1.54487e-31, 5.56597e-15, 1.59028e-15, 3.18055e-15, 4.77083e-15, -1.59028e-15, 15.1947, 7.95139e-16, -0.0, 0.0, 0.0, -1.59028e-15, 6.36111e-15, 2.38542e-15, -1.59028e-15, -10.6173, 0.0, 1.59028e-15, -9.54166e-15, 3.18055e-15, -3.18055e-15, 0.0, 3.18055e-15, -0.0, -15.5542, 2.29105, -9.92594, 1.98785e-15, 18.8122, -0.0, 3.84694, -12.9094, 0.00809109, -1.98785e-16, 7.95139e-16, -0.0, -1.60517e-16, 7.80275, -3.21028e-15, -9.48068, 11.3429, 23.3658, 1.06822e-15, 14.2446, -6.56289e-15, 2.93798, -8.8591, -1.16356, 0.0, 1.59028e-15, -0.0, 1.98785e-16, -0.654347, -0.0
1.31159, 92.1372, -27.232, -6.37015, 13.3278, 175.694, -7.80188, 9.64001, 0.0864227, -1.89344, 7.16983, 0.744679, -1.82047, 2.50631, -0.532088, 4.1823, 1.62054, -1.24597, 2.2207, 11.9578, -5.06679, -0.853108, -4.08276, -12.6053, 0.496053, -18.207, -0.989472, 96.3846, -18.7289, 2.05769, 34.8551, 22.7283, 7.11684, -180.0, 72.581, 133.487, 8.9517, -13.8028, -9.21131e-16, -1.04536, 16.4033, 0.295234, 1.59028e-15, -3.97569e-16, -2.31087e-15, 1.59028e-15, -9.93923e-17, -5.2181e-16, 3.61701, 3.18055e-15, -1.59028e-15, 1.59028e-15, 3.18055e-15, -1.19271e-15, 1.59028e-15, -3.18055e-15, -7.95139e-16, 9.14272, -3.18055e-15, 2.78299e-15, 7.95139e-16, -6.36111e-15, 2.38542e-15, 0.0, 0.0, -1.98785e-16, 14.6269, 0.0, 1.81391e-15, 3.31043e-32, 3.18055e-15, -5.96354e-16, 9.93923e-17, 3.18055e-15, -1.44119e-15, 31.374, 0.0, 7.95139e-15, -0.0, 0.0, 1.59028e-15, 3.18055e-15, -3.18055e-15, -7.95139e-16, -98.6021, -13.8891, -2.07962, -42.1038, 20.5344, -6.72247, -180.0, 69.293, -149.846, -10.2137, -9.92992, -8.07231e-16, 0.165069, 27.9932, -0.0774782, 0.0, 6.36111e-15, -0.0, 3.18055e-15, 6.36111e-15, -1.59028e-15, 9.67797, 1.59028e-15, -7.95139e-16, 8.82781e-32, -1.59028e-15, 3.18055e-15, -6.36111e-15, -1.59028e-15, 3.18055e-15, 6.17775, 0.0, -6.36111e-15, 9.54166e-15, 0.0, -2.38542e-15, 3.18055e-15, 0.0, -2.38542e-15, -1.82927, 0.0, -1.19271e-15, -0.0, 0.0, 3.18055e-15, -0.0, 0.0, 5.1684e-15, -19.1247, 0.0, 9.74045e-15, -7.95139e-16, 0.0, 1.98785e-15, -1.59028e-15, 0.0, 3.97569e-16, -13.8743, 3.03931, -11.2909, -1.59028e-15, 18.8701, -0.0, 2.44462, -13.7276, -0.681438, -5.96354e-16, 0.0, 3.18055e-15, -1.00665e-15, 10.8409, 3.23835e-15, -7.39363, 11.406, 21.6048, -3.97984e-16, 14.8827, 3.29095e-15, 1.15828, -9.1441, -1.6269, -8.82781e-32, 1.59028e-15, 3.18055e-15, -0.0, -0.690651, -0.0
